Permutation,TrainDur,Subject,BestLambda,SpecAccuracy,GenAccuracy
1,30,1,2.15443469003188,0.00897737021802974,0.0119362834410732
1,30,2,100000,-0.0102949310689555,0.0115026161415652
1,30,3,10,0.0159279954552241,0.0288628263410222
1,30,4,0.1,0.0100319500782603,0.00042144022156252
1,30,5,10,0.0376335433648961,0.0247302647204567
1,30,6,100000,0.030500342081141,0.0249832226326402
1,30,7,0.1,0.0169325825190225,0.0201815273592874
1,30,8,10,0.027911369958844,0.0227449179003741
1,30,9,100000,0.00887516146661063,0.00745640339215256
1,30,10,100000,0.00752387617623958,0.0366687019395463
1,30,11,0.1,0.00389069675557352,0.0040857590393117
1,30,12,0.1,0.0134291071928914,0.0148381568235269
1,30,13,215.443469003188,0.0114387389153752,0.0170935757400338
1,30,14,0.464158883361278,0.0197793019735497,0.00733170769868564
1,30,15,10,-0.00122550301320394,0.0153493025489643
1,30,16,2.15443469003188,0.00891673756622961,0.0133658628031974
1,30,17,46.4158883361278,0.00238990330389901,0.00163516628336575
1,30,18,2.15443469003188,0.00700609608739074,0.0105069813595412
1,30,19,100000,0.0121998932788917,0.0155936307230172
1,60,1,100000,0.0121693085935005,0.0135332311072208
1,60,2,100000,-0.0102453453009397,0.00481968079545952
1,60,3,46.4158883361278,0.0220371466530315,0.017641963496279
1,60,4,100000,0.0144565451031246,0.00640480442249997
1,60,5,10,0.0370318325912556,0.0245148992805931
1,60,6,100000,0.0312646380711934,0.0270635734905926
1,60,7,0.1,0.0139057577553003,0.0193665607290092
1,60,8,2.15443469003188,0.0196226259142228,0.0184037122877013
1,60,9,100000,0.00506277650867054,0.00275613830860095
1,60,10,10,0.020623535773418,0.021719125896125
1,60,11,2.15443469003188,-0.00357755755868399,0.00986423924688869
1,60,12,2.15443469003188,0.012878928201918,0.0201677606492862
1,60,13,46.4158883361278,0.0163602793883862,0.0158179232870729
1,60,14,0.464158883361278,0.0265291801925145,0.00734032019319901
1,60,15,0.1,0.00503932408126734,0.0113275051490264
1,60,16,0.1,0.0127714003405226,0.0211337783047635
1,60,17,2.15443469003188,0.00675805251933399,0.00917424910775839
1,60,18,0.1,0.00538989181253943,0.00880265215934951
1,60,19,0.464158883361278,0.0130351345612312,0.0242194423297833
1,150,1,10,0.0168507536871439,0.00886272226302814
1,150,2,100000,-0.00617411218892709,0.00539743571766768
1,150,3,0.1,0.0305252835221419,0.0240343744121859
1,150,4,100000,0.0218148081455242,-0.00109441367478779
1,150,5,0.464158883361278,0.034267525077278,0.0351374030011956
1,150,6,0.1,0.0415705956666862,0.0303981505545343
1,150,7,2.15443469003188,0.0175964135802211,0.0290325309448398
1,150,8,0.1,0.0273475248279234,0.0346546917988061
1,150,9,100000,0.0116995951690766,0.000120831338886702
1,150,10,10,0.0449845375794399,0.0312175949232517
1,150,11,2.15443469003188,-0.00365157588702519,0.0108889766190616
1,150,12,2.15443469003188,0.0142997589054811,0.025543617180658
1,150,13,0.464158883361278,0.0233305854196391,0.0204424612239743
1,150,14,2.15443469003188,0.0351306709703026,0.0222070637027442
1,150,15,0.1,-0.00153231829329989,0.0162522591756501
1,150,16,0.1,0.00978144049064793,0.0318108228417101
1,150,17,2.15443469003188,0.00836558511135809,0.0129490286126721
1,150,18,0.464158883361278,0.012408894304574,0.0108234929357916
1,150,19,0.1,0.0110069629104876,0.0273051883456024
1,300,1,0.1,0.0223771084963321,0.011139623387329
1,300,2,0.464158883361278,0.000123631214929401,0.00740778448494182
1,300,3,0.1,0.0333836663386534,0.0234238183839959
1,300,4,0.1,0.0173581319967088,-0.00242700921444434
1,300,5,2.15443469003188,0.0312337724243312,0.0342948185672018
1,300,6,0.1,0.0475863076527749,0.0398691071640365
1,300,7,2.15443469003188,0.0245147712774428,0.0316235945107153
1,300,8,0.464158883361278,0.0361135989065047,0.0320352292234858
1,300,9,0.1,0.0106124920258926,-0.000566491914252069
