Permutation,TrainDur,Subject,BestLambda,SpecAccuracy,GenAccuracy
1,30,1,215.443469003188,0.0135819063603334,0.0121364994350667
1,30,2,0.1,0.000979010537774333,-0.00782970687823116
1,30,3,0.1,-0.00372979234233966,0.0272193746924828
1,30,4,2.15443469003188,0.0024671729135541,-0.00165302273733471
1,30,5,46.4158883361278,-0.000474446167108479,0.00247597671696857
1,30,6,0.1,-0.00179325180965439,0.0172193452837011
1,30,7,100000,-0.00245305704195369,0.00173479629235648
1,30,8,10,0.0074115893491219,0.00993396730943395
1,30,9,10,-0.00244916403290744,0.0107133471514831
1,30,10,100000,0.00650730194166217,0.0212216485299295
1,30,11,100000,-0.0196174667993026,-0.00651933865708487
1,30,12,0.1,0.00923248760269479,0.00390006144190555
1,30,13,100000,0.0128004951957336,0.014574198526599
1,30,14,0.1,0.00974424947394803,0.00352672018130475
1,30,15,0.1,0.00638428489844998,-0.0142506813119494
1,30,16,100000,0.00791984556290595,0.00492494290553336
1,30,17,0.1,0.0127578145976592,-0.00504498497580791
1,30,18,100000,0.0119140744695447,0.0119738904780795
1,30,19,0.1,0.00320598319748987,-8.56602956155935e-05
1,60,1,10,0.0119495350790634,0.0189621193594651
1,60,2,0.1,-0.00356992716177634,-0.00399183839006438
1,60,3,0.1,-0.000306443427149269,0.0187170380529791
1,60,4,10,0.0097007629685115,0.00717496929159365
1,60,5,10,0.00065255933565823,0.00564488567224441
1,60,6,46.4158883361278,-0.000158398688777126,0.0130982771820181
1,60,7,0.1,-0.0169095977214344,0.00530860270355671
1,60,8,10,0.00865310783166688,0.0104083934875461
1,60,9,10,0.0217629012636262,0.0161586641315499
1,60,10,100000,0.0205516678949992,0.0115797946451025
1,60,11,100000,-0.0146904728436547,-0.00949136530102681
1,60,12,0.464158883361278,0.0153106667288291,0.00795366628573734
1,60,13,0.1,-0.00820035226509462,0.0220242283532832
1,60,14,0.464158883361278,0.0189585825110735,0.0133689402772068
1,60,15,0.1,0.0132748527150389,-0.000456124940233583
1,60,16,10,0.0144206591902303,0.0060070782707055
1,60,17,0.1,0.00595704618665748,0.000695084378052873
1,60,18,100000,0.00140369184447246,0.0186094392860511
1,60,19,0.464158883361278,0.0161892671158827,0.00678916754180088
1,150,1,0.1,0.00361167931443935,0.0154244218512357
1,150,2,2.15443469003188,0.0076092859874249,0.00697917704108402
1,150,3,0.1,0.0152206699219429,0.0203976086012898
1,150,4,0.1,0.0203370586646295,0.00227835089722209
1,150,5,0.464158883361278,0.00687212619268042,0.00917410014510375
1,150,6,1000,0.0102605139910275,0.0295430070051307
1,150,7,0.1,-0.00255498677935323,0.00746921819084673
1,150,8,2.15443469003188,0.0222066927956623,0.0103567298887611
1,150,9,46.4158883361278,0.0314484391495784,0.0156066584477657
1,150,10,0.1,0.0247534279503634,0.0108762855573951
1,150,11,46.4158883361278,-0.000986969183067321,-0.00346994703398262
1,150,12,0.1,0.0125584665521256,0.019043320254972
1,150,13,0.1,0.0152434081580644,0.0309498270644625
1,150,14,46.4158883361278,0.00873251399549508,0.0236958227377928
1,150,15,0.464158883361278,0.0237561217849679,0.00198178818768673
1,150,16,0.464158883361278,0.00738745608038715,0.0090774972440958
1,150,17,0.1,0.00825351207085225,0.00470797021590619
1,150,18,0.1,0.0149723371340411,0.0160214194488984
1,150,19,0.1,0.01244918582656,0.0086351176997458
1,300,1,0.1,0.0094824577930007,0.0170945939465351
1,300,2,2.15443469003188,0.0047714033491502,0.00984248158927009
1,300,3,0.1,0.0216488119155734,0.0251037244807462
1,300,4,0.1,0.0220578208024215,-0.00309793379488765
1,300,5,100000,0.0126934973377228,0.0200870513768501
1,300,6,2.15443469003188,0.0260478667009956,0.0330338968822075
1,300,7,46.4158883361278,0.0101742061529341,0.00907669708433195
1,300,8,10,0.00547914214150655,0.0219990586144692
1,300,9,100000,0.0289870687141665,0.0193468693773063
1,300,10,0.1,0.0343644878507318,0.0161709093214657
1,300,11,10,0.00263969778690887,-0.00673539150627159
1,300,12,0.464158883361278,0.0315811023585257,0.0209740769088571
1,300,13,4641.58883361278,0.0398702534924969,0.0369377410323785
1,300,14,100000,0.0163240235039053,0.0253661563113366
1,300,15,46.4158883361278,-0.00713572934602089,0.0189545154670452
1,300,16,100000,0.0153434970959953,0.0091148669379697
1,300,17,0.1,0.00161904016519739,-0.00242106710925723
1,300,18,0.1,0.00272671089266742,0.013864341902851
1,300,19,10,0.0106026908581902,0.0155449462503229
1,600,1,215.443469003188,0.017168908146158,0.0148924161898333
1,600,2,100000,0.0056595199970512,0.0242091071910615
1,600,3,0.1,0.0251263454898309,0.0277506471435578
1,600,4,0.1,0.0214958185559648,0.00520528436304351
1,600,5,0.1,0.0112405644304195,0.0246720760876258
1,600,6,0.464158883361278,0.0378706295989892,0.0327563056603585
1,600,7,2.15443469003188,0.0139330402910617,0.0104420664306119
1,600,8,100000,0.0100578087757691,0.0265335525535418
1,600,9,100000,0.0235248659397785,0.0216482876253526
1,600,10,10,0.0378682010665132,0.0273648659234596
1,600,11,100000,0.00428299618310165,0.0169238924002442
1,600,12,0.1,0.0389767360193777,0.0283082474562023
