Permutation,Subject,SegDur,Accuracy
1,1,0.5,0.0224320453919367
2,1,0.5,0.0170743159046399
3,1,0.5,0.0264373330650818
4,1,0.5,0.0187760944848412
5,1,0.5,0.0164719985234579
6,1,0.5,0.0119730963674352
7,1,0.5,0.0270712000778871
8,1,0.5,0.0218081042959219
9,1,0.5,0.0259721750523463
10,1,0.5,0.0183216077034992
11,1,0.5,0.0204184568155486
12,1,0.5,0.0151285315118701
13,1,0.5,0.0233434401469055
14,1,0.5,0.0147234733907245
15,1,0.5,0.0173582104242406
16,1,0.5,0.0161703006542833
17,1,0.5,0.023185724179047
18,1,0.5,0.0202679502471796
19,1,0.5,0.0182308432986875
20,1,0.5,0.0164660128282983
21,1,0.5,0.0184295849781854
22,1,0.5,0.0160277096959935
23,1,0.5,0.0149468157464006
24,1,0.5,0.0217452941386031
25,1,0.5,0.0130756486028745
26,1,0.5,0.0220990957128082
27,1,0.5,0.0110546452876733
28,1,0.5,0.01611269679139
29,1,0.5,0.0122813990486754
30,1,0.5,0.0140351841697798
31,1,0.5,0.0216987534382429
32,1,0.5,0.0164306216857336
33,1,0.5,0.0154407780235985
34,1,0.5,0.00692025080909948
35,1,0.5,0.0210944609478953
36,1,0.5,0.0136604700588246
37,1,0.5,0.0169413205772614
38,1,0.5,0.0241867409299179
39,1,0.5,0.0266278892829016
40,1,0.5,0.0231296112838989
41,1,0.5,0.0189657982868376
42,1,0.5,0.0195622854592868
43,1,0.5,0.0193613236994473
44,1,0.5,0.0195762616024216
45,1,0.5,0.01959002791163
46,1,0.5,0.0148575088510417
47,1,0.5,0.0194797742417214
48,1,0.5,0.0161903169541912
49,1,0.5,0.0198129447290916
50,1,0.5,0.0216817803416994
51,1,0.5,0.0240633082916379
52,1,0.5,0.0204237857309024
53,1,0.5,0.0208268642262492
54,1,0.5,0.0137925416281752
55,1,0.5,0.0152118080243239
56,1,0.5,0.0149191471958233
57,1,0.5,0.0262845317836868
58,1,0.5,0.0157147825395104
59,1,0.5,0.0163930510380344
60,1,0.5,0.0212378113974299
61,1,0.5,0.0232850601469476
62,1,0.5,0.0225206950591429
63,1,0.5,0.0227773896948055
64,1,0.5,0.0228344400412899
65,1,0.5,0.0222659283015834
66,1,0.5,0.0262077674257059
67,1,0.5,0.0164192567046098
68,1,0.5,0.0167597371324675
69,1,0.5,0.0211647558943072
70,1,0.5,0.0211063714087957
71,1,0.5,0.0233536464697585
72,1,0.5,0.0208358341645608
73,1,0.5,0.0170773459111014
74,1,0.5,0.0193061636317601
75,1,0.5,0.0171664950310022
76,1,0.5,0.0190609596781597
77,1,0.5,0.0162359270053272
78,1,0.5,0.0250111646701085
79,1,0.5,0.0179024143596133
80,1,0.5,0.0156470847461438
81,1,0.5,0.0163907751650504
82,1,0.5,0.0211631021996069
83,1,0.5,0.00624783433046801
84,1,0.5,0.0160618824086847
85,1,0.5,0.018520075036263
86,1,0.5,0.021958117965118
87,1,0.5,0.0174822541645421
88,1,0.5,0.0153510604183426
89,1,0.5,0.0176969558914769
90,1,0.5,0.0206612739455047
91,1,0.5,0.0222028343398139
92,1,0.5,0.0191101636645954
93,1,0.5,0.0240302723661334
94,1,0.5,0.0268535571104639
95,1,0.5,0.0229559026655749
96,1,0.5,0.0186847132382621
97,1,0.5,0.0167276173128253
98,1,0.5,0.0217603045872457
99,1,0.5,0.0216059529200435
100,1,0.5,0.0176580397473596
1,1,1,0.0304246525244364
2,1,1,0.0237059621784188
3,1,1,0.0297128566358019
4,1,1,0.0253177291566855
5,1,1,0.0316323488906111
6,1,1,0.0211125243217648
7,1,1,0.0232025091541723
8,1,1,0.02639069598191
9,1,1,0.0269661033961073
10,1,1,0.0287530574455111
11,1,1,0.028510141769304
12,1,1,0.02472603629324
13,1,1,0.0261517220479201
14,1,1,0.0280804426587477
15,1,1,0.0283076539106138
16,1,1,0.0344774649697118
17,1,1,0.0258553806338782
18,1,1,0.0298969035885116
19,1,1,0.0278342801413933
20,1,1,0.0242700355612505
21,1,1,0.0335532582287993
22,1,1,0.0300059100347608
23,1,1,0.0318446383505272
24,1,1,0.0223865401859001
25,1,1,0.0285307536056379
